Product_Category,Price,Customer_Tenure_Months,Previous_Returns,Day_of_Week,Order_Hour,Delivery_Speed,Return
Books,456.11,116.0,9.0,Sun,18.0,Expedited,1
Electronics,47.63,,1.0,Tue,,Standard,0
Books,496.05,39.0,8.0,Mon,14.0,Expedited,1
Home,478.78,75.0,7.0,Fri,4.0,SameDay,1
Electronics,449.22,39.0,0.0,Tue,,Standard,0
Electronics,106.96,21.0,6.0,Sat,8.0,Expedited,0
Home,414.67,5.0,8.0,Tue,,Standard,1
Toys,179.48,40.0,3.0,Sun,18.0,Expedited,0
Clothing,484.37,16.0,2.0,Fri,15.0,Standard,0
Home,136.72,36.0,3.0,Thu,17.0,SameDay,0
Toys,120.34,39.0,0.0,Sun,8.0,SameDay,0
Toys,199.15,53.0,6.0,Sun,13.0,Standard,0
Home,346.21,103.0,7.0,Sun,17.0,Expedited,1
Clothing,26.33,26.0,5.0,Sun,4.0,Expedited,0
Toys,347.94,75.0,2.0,Thu,13.0,SameDay,0
Clothing,489.58,97.0,7.0,Mon,,Expedited,1
Electronics,73.43,92.0,6.0,Wed,3.0,Standard,0
Clothing,456.23,43.0,4.0,Thu,3.0,SameDay,1
Home,349.01,69.0,7.0,Thu,9.0,SameDay,1
Books,127.58,77.0,1.0,Sun,2.0,Standard,0
Toys,401.9,32.0,3.0,Tue,16.0,Standard,1
Books,410.62,11.0,3.0,Tue,1.0,Expedited,1
Books,382.59,20.0,1.0,Fri,2.0,Expedited,0
Clothing,199.62,89.0,0.0,Sun,20.0,SameDay,1
Toys,348.0,45.0,3.0,Tue,1.0,Standard,1
Clothing,484.81,55.0,8.0,Wed,2.0,SameDay,1
Books,69.71,1.0,4.0,Mon,13.0,Standard,1
Electronics,232.75,15.0,7.0,Sun,14.0,Standard,0
Clothing,300.09,75.0,2.0,Sat,,Expedited,0
Electronics,419.28,115.0,,Mon,18.0,Standard,1
Toys,470.78,101.0,3.0,Tue,18.0,SameDay,1
Books,257.32,117.0,7.0,Thu,3.0,Expedited,0
Home,,63.0,,Wed,21.0,Expedited,0
Books,375.94,44.0,8.0,Mon,6.0,SameDay,1
Home,263.32,82.0,2.0,Sat,11.0,Expedited,0
Clothing,191.55,2.0,5.0,Wed,13.0,Expedited,1
Home,297.42,55.0,5.0,Fri,21.0,SameDay,0
Books,8.36,62.0,2.0,Thu,3.0,SameDay,0
Clothing,120.64,119.0,6.0,Sat,10.0,Standard,0
Toys,279.28,53.0,8.0,Fri,3.0,SameDay,0
